,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.0,20.01,52.09,67.03,86.02,87.54
Expenses,0.01,2.41,0.09,0.02,0.01,19.43,50.5,62.43,77.83,78.27
Operating Profit,-0.01,-2.41,-0.09,-0.02,-0.01,0.58,1.59,4.6,8.19,9.27
OPM %,,,,,,2.9,3.05,6.86,9.52,10.59
Other Income,0.00,0.00,0.00,0.01,0.01,0.07,0.04,0.01,0.92,0.00
Interest,0.00,0.00,0.00,0.00,0.0,0.3,0.98,1.27,1.3,1.37
Depreciation,0.00,0.00,0.00,0.00,0.0,0.24,0.47,0.47,0.66,0.65
Profit before tax,-0.01,-2.41,-0.09,-0.01,0.0,0.11,0.18,2.87,7.15,7.25
Tax %,0.00,0.00,0.00,0.00,,627.27,27.78,18.47,24.2,
Net Profit,-0.01,-2.41,-0.09,-0.01,0.0,-0.58,0.13,2.34,5.42,5.45
EPS in Rs,,,,,,-0.39,0.03,0.05,0.07,0.07
