,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,466,466,466,466,466,466,466,466,466,466
Reserves,6053,6272,6428,6769,6717,7018,7702,5508,6437,6650
Borrowings,7739,5845,5492,5585,5277,4767,3679,3200,2605,2292
Other Liabilities,1580,2148,2162,1686,1896,1668,1556,1684,1936,1642
Total Liabilities,15839,14731,14549,14506,14357,13919,13403,10859,11443,11051
Fixed Assets,12280,11827,11411,11348,11119,10653,10174,7624,7403,7170
CWIP,567,0,27,8,8,3,33,58,34,101
Investments,77,80,136,269,279,298,354,476,611,661
Other Assets,2915,2824,2975,2882,2951,2964,2841,2701,3395,3118
Total Assets,15839,14731,14549,14506,14357,13919,13403,10859,11443,11051
