,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Revenue,1566,1644,1622,1563,1532,1484,1481,1502,1696,1714,1772,2026,2157
Interest,571,557,524,493,492,531,495,505,528,566,589,648,689
Expenses,421,394,440,451,526,572,584,568,587,575,587,671,675
Financing Profit,574,692,658,619,514,381,402,429,581,573,596,706,792
Financing Margin %,37,42,41,40,34,26,27,29,34,33,34,35,37
Other Income,12,6,8,10,22,22,10,1,18,20,27,31,17
Depreciation,42,41,44,43,41,56,58,49,46,53,56,56,62
Profit before tax,544,657,622,586,495,348,354,381,553,541,567,681,747
Tax %,26,26,25,26,25,25,26,26,26,27,27,27,25
Net Profit,405,483,468,437,370,261,261,282,409,393,415,498,561
EPS in Rs,4.79,5.70,5.53,5.16,4.37,3.08,3.08,3.33,4.82,4.63,4.88,5.86,6.60
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
