,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,13.0
Reserves,1,446,501,566,613,839,897,510,216,150.0
Preference Capital,0,6,0,90,90,90,90,90,90,
Borrowings,10,716,1472,1509,1489,2367,2332,2357,2555,2556.0
Other Liabilities,13,126,166,214,299,658,626,898,1009,1047.0
Total Liabilities,37,1301,2152,2302,2413,3877,3868,3777,3793,3765.0
Fixed Assets,1,437,1160,1216,1177,1495,1536,1380,1177,1927.0
CWIP,0,60,50,18,0,666,792,800,777,0.0
Investments,0,5,0,3,108,6,15,8,8,8.0
Other Assets,36,800,942,1064,1128,1711,1524,1589,1830,1830.0
Total Assets,37,1301,2152,2302,2413,3877,3868,3777,3793,3765.0
