,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,-1,35,-29,118,-241,85,381,-317
Cash from Investing Activity,0,-325,-754,-80,-106,-962,-262,71,140
Cash from Financing Activity,0,335,756,89,-25,1309,71,-452,166
Net Cash Flow,0,9,37,-20,-13,106,-106,0,-10
