,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37.0,1784.0,1901.0,2489.0,1348.0,1353.0,1262.0,1715.0,917.0,529
Expenses,37.0,1721.0,1786.0,2268.0,1185.0,1174.0,1188.0,1470.0,904.0,549
Operating Profit,0.0,63.0,116.0,221.0,163.0,179.0,74.0,246.0,12.0,-20
OPM %,1.0,4.0,6.0,9.0,12.0,13.0,6.0,14.0,1.0,-4
Other Income,0.0,4.0,20.0,53.0,85.0,88.0,160.0,58.0,35.0,0
Interest,0.0,50.0,84.0,131.0,137.0,129.0,125.0,147.0,182.0,197
Depreciation,0.0,4.0,33.0,74.0,61.0,85.0,84.0,86.0,99.0,84
Profit before tax,0.0,12.0,19.0,69.0,51.0,53.0,25.0,71.0,-233.0,-301
Tax %,38.0,24.0,8.0,1.0,9.0,3.0,1.0,0.0,-1.0,
Net Profit,0.0,9.0,18.0,68.0,46.0,51.0,25.0,71.0,-234.0,-302
EPS in Rs,0.02,0.69,1.39,5.37,3.65,4.04,1.96,5.64,-18.52,-19.82
