,2006-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,0.11,0.55,0.52,0.53,0.54,0.58,0.54,0.56,0.62,0.6000000000000001,0.61,0.66
Borrowings,0.08,0.0,0.0,10.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
Other Liabilities,0.38,0.42,6.36,0.11,0.24,2.81,7.01,3.82,7.83,31.64,57.38,29.51
Total Liabilities,5.57,5.97,11.88,16.22,6.78,8.39,12.55,9.38,13.45,37.24,62.99,60.67
Fixed Assets,0.0,0.4,0.13,0.08,0.06,0.05,0.04,0.03,0.02,0.21,0.15,0.12
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,1.44,0.0,0.01,1.81,0.63,0.6000000000000001,0.56,0.65,0.66,0.66,0.66
Other Assets,5.57,4.13,11.75,16.13,4.91,7.71,11.91,8.79,12.78,36.37,62.18,59.89
Total Assets,5.57,5.97,11.88,16.22,6.78,8.39,12.55,9.38,13.45,37.24,62.99,60.67
