,Mar 2006,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.52,0.28,1.53,2.41,3.48,21.54,6.29,30.24,74.42,31.68,43.06,39.73
Expenses,0.52,0.17,1.43,1.55,2.94,21.33,5.81,29.97,73.98,30.76,40.34,38.56
Operating Profit,0.00,0.11,0.10,0.86,0.54,0.21,0.48,0.27,0.44,0.92,2.72,1.17
OPM %,0.00,39.29,6.54,35.68,15.52,0.97,7.63,0.89,0.59,2.9,6.32,2.94
Other Income,0.00,0.0,-0.02,-0.01,0.03,0.0,-0.01,0.0,0.0,0.0,0.0,0.17
Interest,0.00,0.06,0.02,0.79,0.54,0.15,0.45,0.24,0.37,0.81,2.56,1.28
Depreciation,0.00,0.04,0.06,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.06,0.06
Profit before tax,0.00,0.01,0.00,0.01,0.01,0.05,0.01,0.02,0.06,0.09,0.1,0.00
Tax %,,0.0,,0.0,0.0,20.0,200.0,50.0,-33.33,22.22,10.0,
Net Profit,0.00,0.01,0.00,0.01,0.0,0.04,-0.01,0.02,0.09,0.06,0.1,0.01
EPS in Rs,0.00,0.02,0.00,0.0,0.0,0.01,-0.0,0.0,0.02,0.01,0.02,0.01
