,2023-03-01,2023-09-01
Sales,20.66,6.68
Expenses,19.39,6.2
Operating Profit,1.27,0.48
OPM %,6.15,7.19
Other Income,0.08,0.0
Interest,0.42,0.28
Depreciation,0.26,0.29
Profit before tax,0.67,-0.09
Tax %,28.36,-644.44
Net Profit,0.48,-0.68
EPS in Rs,0.51,-0.73
