,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.84,6.84,6.84,6.84,9.38,9.38
Reserves,2.28,2.37,2.48,2.86,7.74,7.07
Borrowings,2.51,2.38,5.14,6.85,7.92,3.98
Other Liabilities,6.64,4.8100000000000005,8.07,2.34,1.56,5.12
Total Liabilities,18.27,16.4,22.53,18.89,26.6,25.55
Fixed Assets,3.75,4.26,5.64,7.1,12.87,12.93
CWIP,0.0,0.0,0.0,0.0,0.0,0.12
Investments,4.78,4.78,3.78,0.0,0.0,0.0
Other Assets,9.74,7.36,13.11,11.79,13.73,12.5
Total Assets,18.27,16.4,22.53,18.89,26.6,25.55
