,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.28,10.89,16.35,19.47,23.04,27.34
Expenses,0.72,10.23,15.43,18.02,21.59,25.59
Operating Profit,0.56,0.66,0.92,1.45,1.45,1.75
OPM %,43.75,6.06,5.63,7.45,6.29,6.40
Other Income,0.0,0.0,0.02,0.01,0.16,0.08
Interest,0.27,0.26,0.34,0.74,0.54,0.70
Depreciation,0.26,0.28,0.33,0.37,0.45,0.55
Profit before tax,0.03,0.12,0.27,0.35,0.62,0.58
Tax %,0.0,25.0,25.93,-8.57,30.65,
Net Profit,0.03,0.09,0.2,0.38,0.42,-0.20
EPS in Rs,0.04,0.13,0.29,0.56,0.45,-0.22
