,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,11,-77,-210,-309,,643,-1199,558,803
Cash from Investing Activity,-7,-13,-50,47,,-28,25,-52,-185
Cash from Financing Activity,2,40,350,239,,-449,894,-165,-907
Net Cash Flow,5,-51,91,-23,,166,-280,340,-289
