,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,65.82,39.36,53.92,3.18,0.58,0.63,1.93,0.78,1.24,4.38,1.37,2.43
Expenses,63.68,38.55,52.09,4.22,1.46,1.31,3.71,2.94,3.0,4.41,1.72,2.73
Operating Profit,2.14,0.81,1.83,-1.04,-0.88,-0.68,-1.78,-2.16,-1.76,-0.03,-0.35,-0.30
OPM %,3.25,2.06,3.39,-32.7,-151.72,-107.94,-92.23,-276.92,-141.94,-0.68,-25.55,-12.35
Other Income,0.76,0.99,1.05,1.61,-0.35,0.25,1.1,1.35,0.06,0.46,0.72,0.10
Interest,0.85,1.27,1.17,1.4,1.15,1.16,1.1,0.7,0.9,0.17,0.01,0.00
Depreciation,0.12,0.13,0.13,0.22,0.09,0.1,0.03,0.03,0.0,0.01,0.02,0.04
Profit before tax,1.93,0.4,1.58,-1.05,-2.47,-1.69,-1.81,-1.54,-2.6,0.25,0.34,-0.24
Tax %,16.58,27.5,0.63,27.62,0.4,0.59,-1.66,-3.25,-2.69,4.0,0.0,
Net Profit,1.61,0.29,1.57,-0.76,-2.46,-1.68,-1.84,-1.6,-2.68,0.24,0.34,-0.23
EPS in Rs,3.02,0.54,2.95,-1.43,-4.62,-3.15,-3.45,-3.0,-5.03,0.45,0.64,-0.42
