,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33
Reserves,3.63,3.91,5.48,4.72,2.18,0.51,-1.16,-2.63,-5.33,-4.58,-4.24,-4.21
Borrowings,14.35,11.94,9.84,8.49,10.37,14.11,12.49,13.25,14.53,17.0,16.48,17.12
Other Liabilities,12.16,11.39,12.53,9.77,4.08,2.26,3.38,2.48,1.78,0.34,3.53,8.58
Total Liabilities,35.47,32.57,33.18,28.31,21.96,22.21,20.04,18.43,16.31,18.09,21.1,26.82
Fixed Assets,2.06,1.97,1.83,0.31,0.21,0.12,0.09,0.06,0.05,0.08,0.14,0.12
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,33.41,30.6,31.35,28.0,21.75,22.09,19.95,18.37,16.26,18.01,20.96,26.7
Total Assets,35.47,32.57,33.18,28.31,21.96,22.21,20.04,18.43,16.31,18.09,21.1,26.82
