,2022-09-01,2023-09-01
Sales,10.04,11.49
Expenses,8.39,9.58
Operating Profit,1.65,1.91
OPM %,16.43,16.62
Other Income,0.06,0.02
Interest,0.07,0.05
Depreciation,0.41,0.52
Profit before tax,1.23,1.36
Tax %,30.08,27.21
Net Profit,0.85,1.0
EPS in Rs,28.33,2.5
