,2023-03-01,2023-06-01,2023-09-01
Sales,8.59,2.86,11.18
Expenses,7.24,1.97,7.92
Operating Profit,1.35,0.89,3.26
OPM %,15.72,31.12,29.16
Other Income,-0.0,-0.0,0.1
Interest,0.03,-0.0,-0.0
Depreciation,-0.0,0.01,0.01
Profit before tax,1.32,0.88,3.35
Tax %,23.48,34.09,34.33
Net Profit,1.0,0.58,2.21
EPS in Rs,0.47,0.27,1.06
