,2023-03-01
Depreciation,0.03
EPS in Rs,0.23
Expenses,7.71
Interest,0.05
Net Profit,0.5
OPM %,10.24
Operating Profit,0.88
Other Income,0.01
Profit before tax,0.81
Sales,8.59
Tax %,37.04
