,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2023-03-01
Cash from Operating Activity,,-6,-18,-5,-20,
Cash from Investing Activity,,-3,-10,-1,0,
Cash from Financing Activity,,4,24,7,19,
Net Cash Flow,,-4,-3,1,-1,
