,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.57,5.75,7.26,7.97,9.26,11.16,13.74,16.84,18.21,9.78,16.77,17.68,19.49
Expenses,3.62,4.25,5.93,6.44,7.81,9.53,11.89,15.61,17.55,10.53,15.27,17.1,18.83
Operating Profit,0.95,1.5,1.33,1.53,1.45,1.63,1.85,1.23,0.66,-0.75,1.5,0.58,0.66
OPM %,20.79,26.09,18.32,19.2,15.66,14.61,13.46,7.3,3.62,-7.67,8.94,3.28,3.39
Other Income,0.15,0.19,0.21,0.44,0.31,-0.11,0.14,0.12,0.16,0.18,0.21,0.24,0.27
Interest,0.01,0.03,0.01,0.08,0.08,0.18,0.22,0.11,0.04,0.02,0.02,0.01,0.00
Depreciation,0.53,0.64,0.67,0.36,0.27,0.37,1.1,1.13,1.1,1.04,1.02,0.96,0.95
Profit before tax,0.56,1.02,0.86,1.53,1.41,0.97,0.67,0.11,-0.32,-1.63,0.67,-0.15,-0.02
Tax %,25.0,16.67,39.53,29.41,32.62,43.3,-7.46,63.64,15.62,12.88,28.36,-46.67,
Net Profit,0.42,0.84,0.52,1.07,0.95,0.55,0.73,0.05,-0.26,-1.42,0.49,-0.22,-0.10
EPS in Rs,1.02,2.05,1.27,2.61,2.32,1.34,1.78,0.12,-0.63,-3.46,1.2,-0.54,-0.25
