,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.11,17.68,17.24,17.74,12.76,13.15,14.55,18.52,23.14,30.84,44.7,46.77,51.43
Expenses,17.24,15.8,14.65,15.03,11.78,11.35,13.05,17.16,20.14,27.24,41.42,42.36,46.62
Operating Profit,1.87,1.88,2.59,2.71,0.98,1.8,1.5,1.36,3.0,3.6,3.28,4.41,4.81
OPM %,9.79,10.63,15.02,15.28,7.68,13.69,10.31,7.34,12.96,11.67,7.34,9.43,9.35
Other Income,0.04,0.54,0.12,0.02,0.38,0.32,0.67,1.2,0.49,0.55,1.4,0.9,0.97
Interest,0.01,0.02,0.12,0.09,0.09,0.08,0.05,0.09,0.04,0.04,0.1,0.4,0.38
Depreciation,0.65,0.67,0.83,0.88,0.83,1.23,1.18,1.22,1.21,1.2,1.24,1.35,1.36
Profit before tax,1.25,1.73,1.76,1.76,0.44,0.81,0.94,1.25,2.24,2.91,3.34,3.56,4.04
Tax %,31.2,32.95,32.95,31.25,100.0,33.33,46.81,23.2,24.55,28.52,28.74,25.0,
Net Profit,0.85,1.16,1.19,1.21,-0.0,0.54,0.51,0.97,1.7,2.08,2.39,2.66,3.02
EPS in Rs,1.23,1.68,1.73,1.75,-0.0,0.78,0.74,1.41,2.47,3.02,3.34,3.64,4.14
