,2021-03-01,2022-03-01,2023-03-01
Sales,39.3,32.26,40.52
Expenses,38.91,32.07,40.09
Operating Profit,0.39,0.19,0.43
OPM %,0.99,0.59,1.06
Other Income,0.26,0.29,0.26
Interest,0.44,0.4,0.41
Depreciation,0.01,0.02,0.02
Profit before tax,0.2,0.06,0.26
Tax %,30.0,33.33,30.77
Net Profit,0.14,0.05,0.18
EPS in Rs,28.0,10.0,3.6
