,2022-09-01,2023-09-01
Sales,20.56,18.73
Expenses,20.34,18.52
Operating Profit,0.22,0.21
OPM %,1.07,1.12
Other Income,0.13,0.15
Interest,0.2,0.18
Depreciation,0.01,0.01
Profit before tax,0.14,0.17
Tax %,28.57,23.53
Net Profit,0.11,0.13
EPS in Rs,22.0,0.26
