,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,51,38,47,66,44,45,49,48,53,56.0,64,50
Inventory Days,59,50,59,86,77,69,69,74,96,98.0,110,88
Days Payable,51,27,46,67,14,11,11,11,17,27.0,34,17
Cash Conversion Cycle,59,60,60,85,107,103,106,111,132,126.0,139,121
Working Capital Days,63,59,55,69,85,77,78,78,86,91.0,119,105
ROCE %,12,29,23,56,3,3,8,7,7,,14,4
