,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.6800000000000002,4.08
Reserves,0.74,1.24,1.77,2.55,4.65,10.4,9.18
Borrowings,0.0,0.62,2.52,3.34,2.3,0.2,1.47
Other Liabilities,1.35,1.74,1.48,3.66,3.07,5.93,5.16
Total Liabilities,2.69,4.2,6.37,10.15,10.62,18.21,19.89
Fixed Assets,0.25,0.38,1.48,1.44,0.0,0.94,0.81
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.02,0.02,0.12,4.4,4.84
Other Assets,2.44,3.82,4.87,8.69,10.5,12.87,14.24
Total Assets,2.69,4.2,6.37,10.15,10.62,18.21,19.89
