,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.97,27.9,20.38,46.03,84.98,69.61,62.61
Expenses,14.49,27.23,19.45,43.53,81.3,66.64,60.22
Operating Profit,0.48,0.67,0.93,2.5,3.68,2.97,2.39
OPM %,3.21,2.4,4.56,5.43,4.33,4.27,3.82
Other Income,0.0,0.01,0.0,0.0,0.02,0.12,0.29
Interest,0.0,0.04,0.28,0.35,0.31,0.03,0.02
Depreciation,0.04,0.06,0.22,0.5,0.56,0.41,0.35
Profit before tax,0.44,0.58,0.43,1.65,2.83,2.65,2.31
Tax %,27.27,27.59,25.58,24.85,25.09,25.28,
Net Profit,0.33,0.43,0.32,1.24,2.12,1.98,1.74
EPS in Rs,5.5,7.17,5.33,20.67,35.33,4.85,4.26
