,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.0,6.13,6.13,6.13,6.13
Reserves,266.77,262.06,262.04,239.44,239.24
Preference Capital,0.16,0.04,0.05,0.17,
Borrowings,0.0,2.0,2.0,2.0,1.0
Other Liabilities,49.6,47.86,52.05,46.29,45.73
Total Liabilities,316.37,318.05,322.22,293.86,292.26
Fixed Assets,53.63,42.98,51.01,44.47,43.38
CWIP,0.01,0.14,0.3,0.01,0.0
Investments,7.48,9.09,27.82,34.16,38.8
Other Assets,255.25,265.84,243.09,215.22,210.08
Total Assets,316.37,318.05,322.22,293.86,292.26
