,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.04,0.03,12.04,12.24
Expenses,2.28,6.34,3.01,9.56,11.18
Operating Profit,-2.28,-6.3,-2.98,2.48,1.06
OPM %,,-15750.0,-9933.33,20.6,8.66
Other Income,-14.51,3.81,4.73,4.67,8.08
Interest,0.00,0.02,0.24,0.43,0.33
Depreciation,2.18,2.13,1.67,2.17,2.18
Profit before tax,-18.97,-4.64,-0.16,4.55,6.63
Tax %,-33.16,-1.94,87.5,-35.38,
Net Profit,-25.25,-4.73,-0.02,6.17,7.52
EPS in Rs,,-0.77,-0.0,1.01,1.23
