,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,3.0,3.0,14.54,14.54
Reserves,11.06,13.9,19.08,44.86,45.59
Borrowings,23.82,16.57,19.92,12.8,17.86
Other Liabilities,23.52,23.63,22.03,18.59,21.76
Total Liabilities,61.4,57.1,64.03,90.79,99.75
Fixed Assets,19.41,15.12,14.3,17.31,18.62
CWIP,0.0,4.92,8.27,11.34,14.47
Investments,0.1,0.1,0.39,0.41,0.61
Other Assets,41.89,36.96,41.07,61.73,66.05
Total Assets,61.4,57.1,64.03,90.79,99.75
