,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,41.44,44.42,46.31,37.57
Expenses,39.6,38.21,40.34,34.7
Operating Profit,1.84,6.21,5.97,2.87
OPM %,4.44,13.98,12.89,7.64
Other Income,0.87,0.16,0.55,1.59
Interest,1.36,0.98,0.82,0.78
Depreciation,0.6,0.55,0.83,1.04
Profit before tax,0.75,4.84,4.87,2.64
Tax %,97.33,18.18,52.16,31.06
Net Profit,0.02,3.96,2.33,1.81
EPS in Rs,0.07,3.77,1.6,1.24
