,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,30,30,30,54,54,54.0
Reserves,41,138,149,207,204,384,466,512.0
Preference Capital,25,49,49,49,49,0,0,
Borrowings,7,3,154,210,232,250,340,375.0
Other Liabilities,37,64,72,74,85,68,70,60.0
Total Liabilities,95,215,405,521,551,756,930,1001.0
Fixed Assets,19,26,186,256,260,291,394,427.0
CWIP,1,2,2,8,9,9,7,10.0
Investments,7,81,23,9,46,46,22,11.0
Other Assets,68,106,194,248,237,410,508,553.0
Total Assets,95,215,405,521,551,756,930,1001.0
