,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,97.0,90.0,31.0,112.0,142.0,116.0,165.0,164.0,177.0,158.0,190.0,189.0
Expenses,67.0,65.0,37.0,77.0,90.0,77.0,112.0,115.0,117.0,108.0,126.0,132.0
Operating Profit,30.0,25.0,-6.0,35.0,52.0,39.0,53.0,50.0,60.0,50.0,64.0,57.0
OPM %,31.0,28.0,-19.0,31.0,37.0,34.0,32.0,30.0,34.0,32.0,34.0,30.0
Other Income,7.0,6.0,9.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0
Interest,5.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,7.0,8.0,8.0,9.0
Depreciation,15.0,16.0,16.0,17.0,17.0,21.0,19.0,21.0,23.0,25.0,25.0,26.0
Profit before tax,17.0,9.0,-18.0,18.0,33.0,15.0,32.0,25.0,33.0,19.0,35.0,26.0
Tax %,-5.0,24.0,-3.0,-3.0,28.0,19.0,23.0,22.0,26.0,23.0,24.0,22.0
Net Profit,18.0,7.0,-19.0,19.0,24.0,12.0,24.0,19.0,24.0,15.0,26.0,20.0
EPS in Rs,5.92,2.37,-6.33,6.2,4.39,2.28,4.53,3.57,4.5,2.74,4.87,3.71
