,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,114.0,189.0,285.0,392.0,251.0,401.0,665.0,713
Expenses,99.0,153.0,204.0,264.0,203.0,277.0,450.0,483
Operating Profit,16.0,36.0,81.0,128.0,47.0,124.0,215.0,230
OPM %,14.0,19.0,28.0,33.0,19.0,31.0,32.0,32
Other Income,1.0,1.0,6.0,5.0,32.0,21.0,12.0,13
Interest,1.0,2.0,12.0,18.0,22.0,25.0,31.0,33
Depreciation,2.0,4.0,32.0,47.0,60.0,72.0,87.0,98
Profit before tax,13.0,31.0,42.0,68.0,-3.0,48.0,109.0,113
Tax %,40.0,34.0,27.0,23.0,-13.0,26.0,24.0,
Net Profit,8.0,21.0,31.0,53.0,-4.0,36.0,83.0,85
EPS in Rs,8.03,20.59,10.31,17.54,-1.18,6.59,15.33,15.82
