,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,36,36,36,36,36,36,36
Reserves,650,716,759,773,854,898,969,1011
Borrowings,84,112,89,65,64,99,160,186
Other Liabilities,158,134,135,150,230,253,261,263
Total Liabilities,894,999,1019,1024,1184,1286,1426,1495
Fixed Assets,471,461,454,440,416,422,500,500
CWIP,2,8,6,7,22,25,46,57
Investments,12,13,46,94,128,135,132,121
Other Assets,409,516,513,483,618,704,748,817
Total Assets,894,999,1019,1024,1184,1286,1426,1495
