,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,766.0,835.0,950.0,917.0,1022.0,1260.0,1386.0,1563
Expenses,667.0,729.0,841.0,825.0,865.0,1117.0,1233.0,1357
Operating Profit,99.0,106.0,109.0,92.0,157.0,143.0,153.0,206
OPM %,13.0,13.0,12.0,10.0,15.0,11.0,11.0,13
Other Income,4.0,4.0,4.0,-10.0,19.0,16.0,13.0,17
Interest,5.0,4.0,4.0,4.0,3.0,3.0,5.0,7
Depreciation,44.0,44.0,46.0,48.0,49.0,51.0,56.0,60
Profit before tax,55.0,63.0,64.0,30.0,124.0,104.0,106.0,157
Tax %,8.0,25.0,21.0,35.0,47.0,25.0,25.0,
Net Profit,50.0,47.0,50.0,19.0,66.0,77.0,79.0,113
EPS in Rs,171.36,13.07,14.0,5.4,18.2,21.5,21.98,31.30
