,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,43.88,63.18,65.79,54.08,85.19,81.35,72.79
Expenses,38.39,53.79,57.71,47.72,72.49,72.69,70.02
Operating Profit,5.49,9.39,8.08,6.36,12.7,8.66,2.77
OPM %,12.51,14.86,12.28,11.76,14.91,10.65,3.81
Other Income,0.74,0.17,1.07,-3.78,0.4,0.71,0.56
Interest,1.89,1.88,2.51,2.38,2.47,1.27,0.84
Depreciation,0.27,0.57,1.74,1.39,0.88,0.33,0.22
Profit before tax,4.07,7.11,4.9,-1.19,9.75,7.77,2.27
Tax %,28.5,19.69,1.63,1.68,10.36,2.19,
Net Profit,2.91,5.71,4.83,-1.17,8.74,7.59,2.46
EPS in Rs,1.19,2.34,1.82,-0.44,3.3,2.88,0.93
