,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,11,11,11,11,11,11,11,11,11,11.0
Reserves,0,48,64,38,-2,-44,-79,-105,-109,-161,-200.0
Preference Capital,0,0,0,0,25,25,84,84,134,134,
Borrowings,0,89,82,81,104,120,93,108,71,95,214.0
Other Liabilities,0,39,50,75,97,121,171,200,215,190,48.0
Total Liabilities,0,187,207,205,210,208,196,215,187,135,73.0
Fixed Assets,0,79,77,156,155,149,146,139,128,121,62.0
CWIP,0,65,80,4,1,3,1,1,0,0,0.0
Investments,0,1,12,0,0,0,0,0,0,0,0.0
Other Assets,0,41,37,45,54,55,50,74,59,14,11.0
Total Assets,0,187,207,205,210,208,196,215,187,135,73.0
