,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.07,29.93,33.28,34.35,27.41,26.44,22.82,16.84,15.72,11.4,8.16,0.64,0.0
Expenses,20.29,27.98,30.31,31.36,24.24,21.77,19.53,15.04,13.88,11.23,10.2,2.55,1.52
Operating Profit,0.78,1.95,2.97,2.99,3.17,4.67,3.29,1.8,1.84,0.17,-2.04,-1.91,-1.52
OPM %,3.7,6.52,8.92,8.7,11.57,17.66,14.42,10.69,11.7,1.49,-25.0,-298.44,
Other Income,0.15,0.45,0.29,-0.16,0.55,0.55,0.85,0.42,0.85,0.55,0.47,0.47,0.61
Interest,0.28,0.35,0.36,0.26,0.14,0.07,0.05,0.03,0.07,0.05,0.03,0.01,0.0
Depreciation,0.48,0.56,0.61,0.42,0.4,1.48,0.97,0.96,1.12,1.12,1.13,1.21,1.18
Profit before tax,0.17,1.49,2.29,2.15,3.18,3.67,3.12,1.23,1.5,-0.45,-2.73,-2.66,-2.09
Tax %,35.29,34.23,37.55,27.91,33.96,33.51,23.4,29.27,28.0,11.11,8.42,9.77,
Net Profit,0.11,0.98,1.44,1.55,2.1,2.44,2.4,0.86,1.08,-0.41,-2.5,-2.41,-1.76
EPS in Rs,0.18,1.63,2.4,2.58,3.5,4.07,4.0,1.43,1.8,-0.68,-4.17,-4.02,-2.93
