,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.0,0.01,0.01,0.01,0.01,2.26,3.08
Reserves,-0.01,-0.01,0.01,0.09,0.88,1.72,11.83
Borrowings,0.01,0.01,0.23,0.24,0.58,0.0,0.0
Other Liabilities,0.01,0.09,1.14,0.51,0.95,1.23,0.92
Total Liabilities,0.01,0.1,1.39,0.85,2.42,5.21,15.83
Fixed Assets,0.0,0.0,0.02,0.02,0.54,0.78,1.27
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,5.07
Other Assets,0.01,0.1,1.37,0.8300000000000001,1.88,4.43,9.49
Total Assets,0.01,0.1,1.39,0.85,2.42,5.21,15.83
