,2022-09-01,2023-09-01
Sales,9.85,12.89
Expenses,9.57,13.66
Operating Profit,0.28,-0.77
OPM %,2.84,-5.97
Other Income,0.0,0.13
Interest,0.0,0.0
Depreciation,0.04,0.13
Profit before tax,0.24,-0.77
Tax %,33.33,0.0
Net Profit,0.16,-0.77
EPS in Rs,1.35,-2.5
