,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.00,0.18,1.29,1.88,17.3,20.87
Expenses,0.01,0.18,1.27,1.77,16.19,19.08
Operating Profit,-0.01,0.00,0.02,0.11,1.11,1.79
OPM %,,0.00,1.55,5.85,6.42,8.58
Other Income,0.00,0.00,0.0,0.0,0.01,0.01
Interest,0.00,0.00,0.0,0.0,0.0,0.0
Depreciation,0.00,0.00,0.0,0.0,0.03,0.21
Profit before tax,-0.01,0.00,0.02,0.11,1.09,1.59
Tax %,0.00,,0.0,27.27,27.52,-0.63
Net Profit,-0.01,0.01,0.02,0.08,0.79,1.6
EPS in Rs,-100.00,10.00,20.0,80.0,790.0,7.07
