,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.26,1.25,1.25,12.5,12.5
Reserves,-0.34,5.33,7.88,12.38,13.74
Borrowings,5.3,2.84,5.31,5.06,7.2
Other Liabilities,9.54,8.12,6.42,15.53,16.08
Total Liabilities,14.76,17.54,20.86,45.47,49.52
Fixed Assets,0.04,0.04,0.23,0.43,0.22
CWIP,0.0,0.0,0.0,0.0,0.15
Investments,0.01,0.01,0.01,0.01,0.01
Other Assets,14.71,17.49,20.62,45.03,49.14
Total Assets,14.76,17.54,20.86,45.47,49.52
