,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.66,3.47,6.05,11.13,21.97,16.21,13.02
Expenses,12.8,3.39,6.69,10.14,17.36,14.4,11.38
Operating Profit,1.86,0.08,-0.64,0.99,4.61,1.81,1.64
OPM %,12.69,2.31,-10.58,8.89,20.98,11.17,12.6
Other Income,0.23,0.01,-0.01,0.03,0.13,0.02,0.01
Interest,0.13,0.2,0.16,0.08,0.13,0.08,0.09
Depreciation,0.02,0.12,0.05,0.0,0.05,0.05,0.05
Profit before tax,1.94,-0.23,-0.86,0.94,4.56,1.7,1.51
Tax %,-13.92,17.39,12.79,0.0,28.51,25.88,35.1
Net Profit,2.21,-0.2,-0.75,0.93,3.26,1.26,0.98
EPS in Rs,1.75,-0.16,-0.6,0.74,2.61,1.01,0.78
