,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.71,35.69,59.08,42.61,62.33
Expenses,23.46,32.47,56.0,37.49,53.28
Operating Profit,3.25,3.22,3.08,5.12,9.05
OPM %,12.17,9.02,5.21,12.02,14.52
Other Income,0.75,0.29,0.3,0.21,0.19
Interest,0.26,0.22,0.23,0.58,0.38
Depreciation,0.02,0.01,0.11,0.2,0.15
Profit before tax,3.72,3.28,3.04,4.55,8.71
Tax %,3.49,24.09,-6.25,28.57,
Net Profit,3.59,2.49,3.23,3.26,6.43
EPS in Rs,13.81,1.98,2.56,2.61,5.14
