,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,68.8,68.8,35.42,35.42
FIIs,0.0,0.0,0.48,0.88
Public,31.2,31.21,64.1,63.71
No. of Shareholders,180.0,167.0,717.0,1062.0
