,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,20,20,41,42,42,42,45,45,48,48,48,48.0
Reserves,313,307,350,406,507,580,694,1145,925,1094,1278,1538,1829.0
Preference Capital,19,19,19,19,19,0,5,5,5,5,5,5,
Borrowings,476,532,552,502,543,549,723,681,620,528,506,713,765.0
Other Liabilities,383,414,390,472,680,377,592,571,736,658,736,910,964.0
Total Liabilities,1192,1273,1312,1422,1771,1548,2051,2442,2327,2328,2567,3209,3606.0
Fixed Assets,487,466,527,571,719,530,711,732,570,613,887,1026,1088.0
CWIP,11,68,15,15,13,74,16,21,28,18,32,85,93.0
Investments,19,0,25,29,5,126,139,165,176,180,64,451,683.0
Other Assets,676,739,746,807,1034,818,1184,1524,1552,1517,1583,1647,1742.0
Total Assets,1192,1273,1312,1422,1771,1548,2051,2442,2327,2328,2567,3209,3606.0
