,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,17,18,35,113,77,79
Cash from Investing Activity,-59,-59,-43,-12,-39,-69
Cash from Financing Activity,40,30,41,-96,-69,-4
Net Cash Flow,-2,-11,32,5,-31,6
