,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,418.0,501.0,387.0,306.0,390.0,493.0,528
Expenses,361.0,423.0,333.0,249.0,283.0,336.0,360
Operating Profit,58.0,78.0,54.0,57.0,107.0,156.0,168
OPM %,14.0,16.0,14.0,19.0,27.0,32.0,32
Other Income,3.0,3.0,0.0,0.0,3.0,5.0,7
Interest,17.0,24.0,31.0,32.0,21.0,19.0,21
Depreciation,15.0,19.0,34.0,25.0,22.0,24.0,25
Profit before tax,29.0,38.0,-12.0,-0.0,66.0,118.0,128
Tax %,35.0,49.0,32.0,-130.0,26.0,25.0,
Net Profit,19.0,20.0,-8.0,-1.0,49.0,88.0,96
EPS in Rs,12.59,13.07,-5.42,-0.42,6.22,10.48,11.35
