,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,27.33,27.33,27.27,26.27
FIIs,7.42,5.86,6.78,20.61
DIIs,8.86,11.76,10.23,17.52
Public,56.39,55.06,55.73,35.6
No. of Shareholders,208138.0,151880.0,133957.0,153180.0
