,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Revenue,8.34,7.49,7.32,7.3,7.22,8.48,6.66,5.64,5.38,5.71,5.61,3.74,3.00
Interest,5.47,5.01,4.59,4.39,4.28,4.16,3.7,3.39,3.69,3.13,2.7,2.68,2.50
Expenses,2.58,2.17,1.76,2.83,1.68,3.55,1.4,1.7,1.49,3.16,2.61,1.36,0.31
Financing Profit,0.29,0.31,0.97,0.08,1.26,0.77,1.56,0.55,0.2,-0.58,0.3,-0.3,0.19
Financing Margin %,3.48,4.14,13.25,1.1,17.45,9.08,23.42,9.75,3.72,-10.16,5.35,-8.02,6.33
Other Income,0.0,0.0,0.0,0.17,0.21,0.25,0.19,0.01,0.01,0.78,0.06,0.06,0.02
Depreciation,0.06,0.06,0.06,0.05,0.05,0.05,0.37,0.09,0.08,0.08,0.08,0.07,0.05
Profit before tax,0.23,0.25,0.91,0.2,1.42,0.97,1.38,0.47,0.13,0.12,0.28,-0.31,0.16
Tax %,39.13,24.0,19.78,5.0,27.46,92.78,54.35,68.09,-115.38,-58.33,96.43,9.68,37.50
Net Profit,0.15,0.19,0.73,0.18,1.03,0.07,0.64,0.15,0.27,0.19,0.0,-0.27,0.09
EPS in Rs,0.11,0.13,0.51,0.13,0.72,0.05,0.45,0.11,0.19,0.13,0.0,-0.19,0.06
Gross NPA %,4.17,4.08,4.37,4.31,4.68,4.23,4.29,4.68,3.69,3.4,4.6,4.78,
Net NPA %,2.66,2.09,2.31,2.21,2.45,3.16,3.09,3.36,2.6,2.43,4.22,3.45,
