,2006-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
Reserves,-0.79,3.1,3.17,2.72,3.35,3.79,4.18,4.5,4.9,4.95,5.14
Borrowings,0.0,0.0,1.36,0.12,1.79,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.04,0.03,0.09,0.03,0.05,0.3,0.24,0.39,0.05,0.35,0.47
Total Liabilities,2.26,6.14,7.63,5.88,8.2,7.1,7.43,7.9,7.96,8.31,8.62
Fixed Assets,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.28,0.35,5.04,5.71,5.97,6.98,7.1,7.86,7.87,8.29,8.61
Other Assets,1.96,5.79,2.59,0.17,2.23,0.12,0.33,0.04,0.09,0.02,0.01
Total Assets,2.26,6.14,7.63,5.88,8.2,7.1,7.43,7.9,7.96,8.31,8.62
