,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,22,27,29,29,30,30.0
Reserves,0,12,48,89,179,274,346.0
Preference Capital,0,21,15,17,39,41,
Borrowings,47,98,129,147,196,300,348.0
Other Liabilities,16,50,65,74,136,168,136.0
Total Liabilities,80,180,269,338,541,772,860.0
Fixed Assets,38,136,198,241,300,381,435.0
CWIP,29,16,29,20,52,91,117.0
Investments,0,0,0,8,22,66,55.0
Other Assets,13,28,42,70,166,234,253.0
Total Assets,80,180,269,338,541,772,860.0
