,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,13.0,74.0,166.0,212.0,507.0,980.0
Expenses,11.0,53.0,116.0,139.0,321.0,868.0
Operating Profit,3.0,21.0,50.0,73.0,186.0,112.0
OPM %,20.0,29.0,30.0,35.0,37.0,11.0
Other Income,0.0,0.0,0.0,1.0,3.0,6.0
Interest,1.0,6.0,10.0,16.0,22.0,23.0
Depreciation,1.0,4.0,9.0,12.0,15.0,21.0
Profit before tax,1.0,13.0,31.0,46.0,152.0,74.0
Tax %,36.0,10.0,33.0,24.0,25.0,24.0
Net Profit,1.0,11.0,21.0,35.0,114.0,56.0
EPS in Rs,0.54,5.27,7.78,12.11,38.67,18.67
