,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,31,44,50,129,47
Cash from Investing Activity,,-86,-76,-53,-110,-202
Cash from Financing Activity,,64,35,10,15,118
Net Cash Flow,,9,4,7,33,-37
