,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,,-690,-547,-2091,1710,1068,-1564,899
Cash from Investing Activity,,,,-194,-842,260,-2272,-992,1165,-259
Cash from Financing Activity,,,,589,1459,2787,-354,35,200,-540
Net Cash Flow,,,,-294,71,956,-916,111,-199,99
