,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,68,68,73,78,79,92,92,124,136,136,136.0
Reserves,1067,1217,1468,1824,1996,2914,2588,3562,2793,2976,3041.0
Preference Capital,0,0,0,0,0,0,0,12,0,0,
Borrowings,1898,2574,3001,3373,4823,9062,7142,6008,6223,5648,5651.0
Other Liabilities,127,133,151,213,296,232,306,388,508,357,252.0
Total Liabilities,3161,3992,4693,5489,7194,12300,10129,10082,9661,9116,9080.0
Fixed Assets,1,1,3,9,56,370,383,366,386,377,369.0
CWIP,0,0,0,0,8,0,0,0,0,0,0.0
Investments,61,55,0,187,1007,301,231,1591,548,1039,931.0
Other Assets,3099,3936,4690,5293,6123,11629,9515,8125,8727,7700,7781.0
Total Assets,3161,3992,4693,5489,7194,12300,10129,10082,9661,9116,9080.0
