,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45
FIIs,0.0,1.91,1.91,1.91,1.17,0.0,0.19,0.09
DIIs,2.42,0.01,0.01,0.83,0.83,0.83,0.83,0.83
Public,35.13,35.63,35.63,34.81,35.55,36.71,36.54,36.61
No. of Shareholders,595.0,622.0,600.0,615.0,903.0,1242.0,1575.0,1672.0
