,Mar 2022,Mar 2023,TTM
Sales,215.0,279.0,442
Expenses,201.0,261.0,404
Operating Profit,14.0,19.0,38
OPM %,6.0,7.0,9
Other Income,0.0,1.0,2
Interest,3.0,3.0,6
Depreciation,2.0,2.0,5
Profit before tax,9.0,14.0,30
Tax %,26.0,23.0,
Net Profit,7.0,11.0,21
EPS in Rs,4.63,5.13,10.14
