,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,116.0,116.0,164.0,278.0
Expenses,107.0,107.0,154.0,250.0
Operating Profit,8.0,8.0,10.0,28.0
OPM %,7.0,7.0,6.0,10.0
Other Income,0.0,0.0,0.0,2.0
Interest,1.0,1.0,2.0,4.0
Depreciation,1.0,1.0,2.0,3.0
Profit before tax,6.0,6.0,8.0,22.0
Tax %,26.0,26.0,20.0,33.0
Net Profit,5.0,5.0,6.0,15.0
EPS in Rs,3.07,3.07,2.92,7.22
