,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,353.0,360.0,393.0,671.0,1086.0,1214
Expenses,317.0,319.0,355.0,580.0,920.0,1044
Operating Profit,36.0,41.0,38.0,92.0,166.0,171
OPM %,10.0,11.0,10.0,14.0,15.0,14
Other Income,2.0,2.0,4.0,5.0,12.0,28
Interest,20.0,24.0,24.0,26.0,36.0,40
Depreciation,5.0,6.0,10.0,12.0,18.0,20
Profit before tax,13.0,13.0,9.0,58.0,125.0,139
Tax %,29.0,15.0,1.0,29.0,24.0,
Net Profit,9.0,11.0,9.0,41.0,95.0,110
EPS in Rs,13.6,16.68,12.6,8.88,16.3,18.90
