,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,166.0,228.0,192.0,263.0,276.0,356.0,291.0,292.0
Expenses,147.0,191.0,165.0,222.0,238.0,301.0,251.0,253.0
Operating Profit,19.0,37.0,27.0,41.0,38.0,55.0,39.0,39.0
OPM %,12.0,16.0,14.0,15.0,14.0,15.0,14.0,13.0
Other Income,1.0,-0.0,0.0,0.0,4.0,6.0,8.0,10.0
Interest,6.0,7.0,7.0,10.0,9.0,8.0,11.0,12.0
Depreciation,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0
Profit before tax,11.0,27.0,15.0,26.0,28.0,49.0,32.0,31.0
Tax %,30.0,32.0,22.0,28.0,25.0,20.0,21.0,18.0
Net Profit,8.0,18.0,12.0,19.0,21.0,39.0,25.0,25.0
EPS in Rs,10.11,3.96,2.61,4.11,3.56,6.64,4.33,4.37
