,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.24,4.7,5.33,6.56,9.69,7.09,6.52,10.8
Expenses,0.94,3.47,4.02,4.85,7.98,5.24,5.09,8.41
Operating Profit,0.3,1.23,1.31,1.71,1.71,1.85,1.43,2.39
OPM %,24.19,26.17,24.58,26.07,17.65,26.09,21.93,22.13
Other Income,0.0,0.0,0.0,0.0,0.03,0.12,0.17,0.21
Interest,0.0,0.02,0.06,0.05,0.07,0.02,0.02,0.01
Depreciation,0.01,0.01,0.02,0.03,0.06,0.07,0.07,0.08
Profit before tax,0.29,1.2,1.23,1.63,1.61,1.88,1.51,2.51
Tax %,24.14,25.0,25.2,25.15,27.33,28.19,15.23,33.07
Net Profit,0.22,0.89,0.92,1.21,1.18,1.35,1.28,1.68
EPS in Rs,220.0,890.0,920.0,4.82,1.23,1.4,1.33,1.74
