,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.01,5.94,28.67,34.10
Expenses,0.0,0.01,4.42,22.1,26.72
Operating Profit,0.0,0.00,1.52,6.57,7.38
OPM %,,0.00,25.59,22.92,21.64
Other Income,0.0,0.00,0.0,0.15,0.53
Interest,0.0,0.00,0.02,0.2,0.12
Depreciation,0.0,0.00,0.02,0.18,0.28
Profit before tax,0.0,0.00,1.48,6.34,7.51
Tax %,,,25.68,26.03,
Net Profit,0.0,0.00,1.11,4.69,5.49
EPS in Rs,0.0,0.00,1110.0,4.87,5.70
