,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,13,13,13,13,13,13,13,13,13
Reserves,222,238,216,197,145,69,41,-15,-117,-137
Borrowings,0,0,30,25,35,167,160,204,249,271
Other Liabilities,151,155,187,136,176,160,153,159,225,216
Total Liabilities,373,407,445,372,368,409,368,361,370,363
Fixed Assets,112,149,193,201,206,303,279,240,217,242
CWIP,3,2,2,1,1,1,1,2,2,0
Investments,152,88,72,20,14,19,11,26,21,22
Other Assets,105,167,179,149,147,86,77,93,130,99
Total Assets,373,407,445,372,368,409,368,361,370,363
