,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,29,5,-8,-12,22,47,32,30,63
Cash from Investing Activity,-16,-5,-39,24,-28,-12,4,-34,-39
Cash from Financing Activity,0,0,33,-7,5,-47,-31,12,-18
Net Cash Flow,13,0,-13,5,-1,-11,5,8,5
